position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Zine El Abidine Ben Ali,Q204487,1987-11-07,2011-01-14,male,1936-09-03,2019-09-19,Zine El Abidine Ben Ali.jpg,Zine El Abidine Ben Ali
President,Mohamed Ghannouchi,Q431515,2011-01-14,2011-01-15,male,1941-08-18,,Mohamed Ghannouchi.jpg,Mohamed Ghannouchi
President,Fouad Mebazaa,Q152369,2011-01-15,2011-12-13,male,1933-06-16,,FouedMebazaa.jpg,Fouad Mebazaa
President,Moncef Marzouki,Q4715,2011-12-13,2014-12-31,male,1945-07-07,,Moncef Marzouki2.jpg,Moncef Marzouki
President,Beji Caid Essebsi,Q313539,2014-12-31,2019-07-25,male,1926-11-29,2019-07-25,Béji Caïd Essebsi 2015-05-20.jpg,Beji Caid Essebsi
President,Mohamed Ennaceur,Q3318530,2019-07-25,2019-10-23,male,1934-03-21,,Mohamed Ennaceur.jpg,Mohamed Ennaceur
President,Kais Saied,Q16120878,2019-10-23,,male,1958-02-22,,President Kais Saïed cropped.jpg,Kais Saied
Prime Minister,Mohamed Ghannouchi,Q431515,1999-11-17,2011-02-27,male,1941-08-18,,Mohamed Ghannouchi.jpg,Mohamed Ghannouchi
Prime Minister,Beji Caid Essebsi,Q313539,2011-02-28,2011-12-24,male,1926-11-29,2019-07-25,Béji Caïd Essebsi 2015-05-20.jpg,Beji Caid Essebsi
Prime Minister,Hamadi Jebali,Q57699,2011-12-24,2013-03-13,male,1949-01-12,,Hamadi Jebali - World Economic Forum Annual Meeting 2012-1.jpg,Hamadi Jebali
Prime Minister,Ali Laarayedh,Q281184,2013-03-13,2014-01-29,male,1955-08-15,,AliLarayedhpicture.jpg,Ali Laarayedh
Prime Minister,Mehdi Jomaa,Q15304780,2014-01-29,2015-02-06,male,1962-04-21,,Mehdi Jomaa 2013-06-18.jpg,Mehdi Jomaa
Prime Minister,Habib Essid,Q3125311,2015-02-06,2016-08-27,male,1949-06-01,,HabibEssid.jpg,Habib Essid
Prime Minister,Youssef Chahed,Q25391268,2016-08-27,2020-02-27,male,1975-09-18,,Youssef Chahed.jpg,Youssef Chahed
Prime Minister,Elyes Fakhfakh,Q3051875,2020-02-27,2020-09-02,male,1972,,Mr. Elyes Fakhfakh.jpg,Elyes Fakhfakh
Prime Minister,Hichem Mechichi,Q88485687,2020-09-02,2021-07-25,male,1974-01,,Hichem Mechichi.jpg,Hichem Mechichi
Prime Minister,Najla Bouden,Q108741355,2021-10-11,,female,1958-06-29,,الرئيس تبون يستقبل رئيسة الحكومة التونسية 0-24 screenshot (cropped).png,Najla Bouden
Minister of Agriculture,Samir Taieb,Q3470847,2016-08-27,2020-02-27,male,1957-05-26,,Samir Taieb.JPG,
Minister of Culture,Abderraouf El Basti,Q2821273,2008-08-29,2011-01-14,male,1947-08-19,,"Abderraouf El Basti, Tunis 20101215.JPG",Abderraouf El Basti
Minister of Culture,Moufida Tlatli,Q431848,2011-01-17,2011-01-27,female,1947-08-04,2021-02-07,,Moufida Tlatli
Minister of Culture,Azedine Beschaouch,Q2875109,2011-01-27,2011-12-24,male,1938-04-18,,La Tunisie protège ses trésors anciens (5781459911).jpg,
Minister of Culture,Chiraz Latiri,Q88467296,2020-02-27,2020-09-02,female,1972-03-24,,Chiraz Laatiri.jpg,Chiraz Latiri
Minister of Education,Ahmed Eyadh Ouederni,Q2827587,1999-11-17,2001-01-23,male,1953-02-19,,,Ahmed Eyadh Ouederni
